package,lib_path,version,priority,depends,imports,needs_compilation,built,url,source
AsioHeaders,/Library/Frameworks/R.framework/Versions/4.5-arm64/Resources/library,1.30.2-1,NA,NA,NA,no,4.5.0,"https://github.com/eddelbuettel/asioheaders,
https://dirk.eddelbuettel.com/code/asioheaders.html",CRAN
askpass,/Library/Frameworks/R.framework/Versions/4.5-arm64/Resources/library,1.2.1,NA,NA,sys (>= 2.1),yes,4.5.0,https://r-lib.r-universe.dev/askpass,CRAN
assert,/Library/Frameworks/R.framework/Versions/4.5-arm64/Resources/library,1.0.1,NA,NA,,no,4.5.0,https://github.com/OlivierBinette/assert,CRAN
assertthat,/Library/Frameworks/R.framework/Versions/4.5-arm64/Resources/library,0.2.1,NA,NA,tools,no,4.5.0,NA,CRAN
audio,/Library/Frameworks/R.framework/Versions/4.5-arm64/Resources/library,0.1-11,NA,R (>= 2.0.0),NA,yes,4.5.0,http://www.rforge.net/audio/,CRAN
auriel,/Library/Frameworks/R.framework/Versions/4.5-arm64/Resources/library,0.1,NA,R (>= 3.0.2),NA,no,4.5.0,NA,GitHub repo = aurielfournier/rel
available,/Library/Frameworks/R.framework/Versions/4.5-arm64/Resources/library,1.1.0,NA,R (>= 3.3.0),"cli, clisymbols, crayon, tidytext, desc, glue, jsonlite,
memoise, SnowballC, stringdist, tibble, yesno",no,4.5.0,https://github.com/r-lib/available,CRAN
babynames,/Library/Frameworks/R.framework/Versions/4.5-arm64/Resources/library,1.0.1,NA,R (>= 2.10),tibble,no,4.5.0,https://github.com/hadley/babynames,CRAN
backports,/Library/Frameworks/R.framework/Versions/4.5-arm64/Resources/library,1.5.0,NA,R (>= 3.0.0),NA,yes,4.5.0,https://github.com/r-lib/backports,CRAN
base64enc,/Library/Frameworks/R.framework/Versions/4.5-arm64/Resources/library,0.1-3,NA,R (>= 2.9.0),NA,yes,4.5.0,http://www.rforge.net/base64enc,CRAN
bayesplot,/Library/Frameworks/R.framework/Versions/4.5-arm64/Resources/library,1.13.0,NA,R (>= 3.1.0),"dplyr (>= 0.8.0), ggplot2 (>= 3.4.0), ggridges (>= 0.5.5),
glue, posterior, reshape2, rlang (>= 0.3.0), stats, tibble (>=
2.0.0), tidyr, tidyselect, utils",no,4.5.0,https://mc-stan.org/bayesplot/,CRAN
bayestestR,/Library/Frameworks/R.framework/Versions/4.5-arm64/Resources/library,0.16.1,NA,R (>= 3.6),"insight (>= 1.3.1), datawizard (>= 1.1.0), graphics, methods,
stats, utils",no,4.5.0,https://easystats.github.io/bayestestR/,CRAN
bbplot,/Library/Frameworks/R.framework/Versions/4.5-arm64/Resources/library,0.0.1,NA,R (>= 3.2.3),"graphics, grDevices,",no,4.5.0,https://github.com/dapperstats/bbplot,GitHub repo = dapperstats/bbplot
bdsmatrix,/Library/Frameworks/R.framework/Versions/4.5-arm64/Resources/library,1.3-7,NA,"methods, R (>= 2.0.0)",NA,yes,4.5.0,NA,CRAN
beepr,/Library/Frameworks/R.framework/Versions/4.5-arm64/Resources/library,2.0,NA,NA,audio,no,4.5.0,https://github.com/rasmusab/beepr,CRAN
beeswarm,/Library/Frameworks/R.framework/Versions/4.5-arm64/Resources/library,0.4.0,NA,NA,"stats, graphics, grDevices, utils",yes,4.5.0,https://github.com/aroneklund/beeswarm,CRAN
bench,/Library/Frameworks/R.framework/Versions/4.5-arm64/Resources/library,1.1.4,NA,R (>= 4.0.0),"glue (>= 1.8.0), methods, pillar (>= 1.10.1), profmem (>=
0.6.0), rlang (>= 1.1.4), stats, tibble (>= 3.2.1), utils",yes,4.5.0,"https://bench.r-lib.org/, https://github.com/r-lib/bench",CRAN
betareg,/Library/Frameworks/R.framework/Versions/4.5-arm64/Resources/library,3.2-3,NA,R (>= 3.6.0),"graphics, grDevices, methods, stats, flexmix, Formula, lmtest,
modeltools, sandwich",yes,4.5.0,https://topmodels.R-Forge.R-project.org/betareg/,CRAN
beyonce,/Library/Frameworks/R.framework/Versions/4.5-arm64/Resources/library,0.1,NA,R (>= 3.0),NA,no,4.5.0,https://github.com/dill/beyonce,GitHub repo = dill/beyonce
BH,/Library/Frameworks/R.framework/Versions/4.5-arm64/Resources/library,1.87.0-1,NA,NA,NA,no,4.5.0,"https://github.com/eddelbuettel/bh,
https://dirk.eddelbuettel.com/code/bh.html",CRAN
BHH2,/Library/Frameworks/R.framework/Versions/4.5-arm64/Resources/library,2016.05.31,NA,R (>= 2.0.0),NA,no,4.5.0,NA,CRAN
BiasedUrn,/Library/Frameworks/R.framework/Versions/4.5-arm64/Resources/library,2.0.12,NA,NA,NA,yes,4.5.0,https://www.agner.org/random/ https://www.r-project.org/,CRAN
bibtex,/Library/Frameworks/R.framework/Versions/4.5-arm64/Resources/library,0.5.1,NA,R (>= 3.0.2),"backports (>= 1.4.0), utils",no,4.5.0,"https://github.com/ropensci/bibtex,
https://docs.ropensci.org/bibtex/",CRAN
bigD,/Library/Frameworks/R.framework/Versions/4.5-arm64/Resources/library,0.3.1,NA,R (>= 3.6.0),NA,no,4.5.0,"https://rstudio.github.io/bigD/, https://github.com/rstudio/bigD",CRAN
binGroup,/Library/Frameworks/R.framework/Versions/4.5-arm64/Resources/library,2.2-3,NA,NA,"graphics, partitions, Rdpack, stats, utils",no,4.5.0,NA,CRAN
binom,/Library/Frameworks/R.framework/Versions/4.5-arm64/Resources/library,1.1-1.1,NA,NA,NA,yes,4.5.0,NA,CRAN
BiocManager,/Library/Frameworks/R.framework/Versions/4.5-arm64/Resources/library,1.30.26,NA,NA,utils,no,4.5.0,https://bioconductor.github.io/BiocManager/,CRAN
BiocVersion,/Library/Frameworks/R.framework/Versions/4.5-arm64/Resources/library,3.21.1,NA,R (>= 4.5.0),NA,no,4.5.0,NA,Bioconductor 3.21
birtr,/Library/Frameworks/R.framework/Versions/4.5-arm64/Resources/library,1.0.0,NA,R (>= 3.4.1),NA,no,4.5.0,NA,CRAN
bit,/Library/Frameworks/R.framework/Versions/4.5-arm64/Resources/library,4.6.0,NA,R (>= 3.4.0),NA,yes,4.5.0,https://github.com/r-lib/bit,CRAN
bit64,/Library/Frameworks/R.framework/Versions/4.5-arm64/Resources/library,4.6.0-1,NA,"R (>= 3.4.0), bit (>= 4.0.0)","graphics, methods, stats, utils",yes,4.5.0,https://github.com/r-lib/bit64,CRAN
bitops,/Library/Frameworks/R.framework/Versions/4.5-arm64/Resources/library,1.0-9,NA,NA,NA,yes,4.5.0,https://github.com/mmaechler/R-bitops,CRAN
BlakerCI,/Library/Frameworks/R.framework/Versions/4.5-arm64/Resources/library,1.0-6,NA,NA,NA,no,4.5.0,NA,CRAN
BlandAltmanLeh,/Library/Frameworks/R.framework/Versions/4.5-arm64/Resources/library,0.3.1,NA,NA,NA,no,4.5.0,NA,CRAN
blme,/Library/Frameworks/R.framework/Versions/4.5-arm64/Resources/library,1.0-6,NA,"R (>= 3.0-0), lme4 (>= 1.0-6)","methods, stats, utils",no,4.5.0,https://github.com/vdorie/blme,CRAN
blob,/Library/Frameworks/R.framework/Versions/4.5-arm64/Resources/library,1.2.4,NA,NA,"methods, rlang, vctrs (>= 0.2.1)",no,4.5.0,"https://blob.tidyverse.org, https://github.com/tidyverse/blob",CRAN
blockrand,/Library/Frameworks/R.framework/Versions/4.5-arm64/Resources/library,1.5,NA,NA,NA,no,4.5.0,NA,CRAN
blogdown,/Library/Frameworks/R.framework/Versions/4.5-arm64/Resources/library,1.21,NA,R (>= 3.5.0),"bookdown (>= 0.22), htmltools, httpuv (>= 1.4.0), jsonlite,
knitr (>= 1.25), later, rmarkdown (>= 2.8), servr (>= 0.21),
xfun (>= 0.34), yaml (>= 2.1.19)",no,4.5.0,"https://github.com/rstudio/blogdown,
https://pkgs.rstudio.com/blogdown/",CRAN
bmp,/Library/Frameworks/R.framework/Versions/4.5-arm64/Resources/library,0.3,NA,NA,NA,no,4.5.0,NA,CRAN
bookdown,/Library/Frameworks/R.framework/Versions/4.5-arm64/Resources/library,0.43,NA,R (>= 3.5.0),"htmltools (>= 0.3.6), knitr (>= 1.38), rmarkdown (>= 2.14),
jquerylib, xfun (>= 0.48), tinytex (>= 0.12), yaml (>= 2.1.19)",no,4.5.0,"https://github.com/rstudio/bookdown,
https://pkgs.rstudio.com/bookdown/",CRAN
boot,/Library/Frameworks/R.framework/Versions/4.5-arm64/Resources/library,1.3-31,recommended,"R (>= 3.0.0), graphics, stats",NA,no,4.5.0,NA,CRAN
bootstrap,/Library/Frameworks/R.framework/Versions/4.5-arm64/Resources/library,2019.6,NA,"stats, R (>= 2.10.0)",NA,yes,4.5.0,https://gitlab.com/scottkosty/bootstrap,CRAN
BradleyTerry2,/Library/Frameworks/R.framework/Versions/4.5-arm64/Resources/library,1.1.3,NA,R (>= 2.10),"brglm, gtools, lme4 (>= 1.0), qvcalc, stats",no,4.5.0,https://github.com/hturner/BradleyTerry2,CRAN
brew,/Library/Frameworks/R.framework/Versions/4.5-arm64/Resources/library,1.0-10,NA,NA,NA,no,4.5.0,https://github.com/gregfrog/brew,CRAN
brglm,/Library/Frameworks/R.framework/Versions/4.5-arm64/Resources/library,0.7.2,NA,"R (>= 2.6.0), profileModel",NA,yes,4.5.0,https://github.com/ikosmidis/brglm,CRAN
brio,/Library/Frameworks/R.framework/Versions/4.5-arm64/Resources/library,1.1.5,NA,R (>= 3.6),NA,yes,4.5.0,"https://brio.r-lib.org, https://github.com/r-lib/brio",CRAN
broom,/Library/Frameworks/R.framework/Versions/4.5-arm64/Resources/library,1.0.9,NA,R (>= 4.1),"backports, cli, dplyr (>= 1.0.0), generics (>= 0.0.2), glue,
lifecycle, purrr, rlang (>= 1.1.0), stringr, tibble (>= 3.0.0),
tidyr (>= 1.0.0)",no,4.5.0,"https://broom.tidymodels.org/, https://github.com/tidymodels/broom",CRAN
broom.helpers,/Library/Frameworks/R.framework/Versions/4.5-arm64/Resources/library,1.21.0,NA,R (>= 4.1),"broom (>= 0.8), cards, cli, dplyr (>= 1.1.0), labelled,
lifecycle, purrr, rlang (>= 1.0.1), stats, stringr, tibble,
tidyr, tidyselect",no,4.5.0,"https://larmarange.github.io/broom.helpers/,
https://github.com/larmarange/broom.helpers",CRAN
broom.mixed,/Library/Frameworks/R.framework/Versions/4.5-arm64/Resources/library,0.2.9.6,NA,NA,"broom, coda, dplyr, forcats, methods, nlme, purrr, stringr,
tibble, tidyr, furrr",no,4.5.0,https://github.com/bbolker/broom.mixed,CRAN
bslib,/Library/Frameworks/R.framework/Versions/4.5-arm64/Resources/library,0.9.0,NA,R (>= 2.10),"base64enc, cachem, fastmap (>= 1.1.1), grDevices, htmltools
(>= 0.5.8), jquerylib (>= 0.1.3), jsonlite, lifecycle, memoise
(>= 2.0.1), mime, rlang, sass (>= 0.4.9)",no,4.5.0,"https://rstudio.github.io/bslib/, https://github.com/rstudio/bslib",CRAN
bstfun,/Library/Frameworks/R.framework/Versions/4.5-arm64/Resources/library,0.5.1.9003,NA,R (>= 3.4),"broom.helpers (>= 1.9.0), broom (>= 1.0.1), cli (>= 3.0.1),
dplyr (>= 1.0.1), forcats (>= 0.5.0), fs (>= 1.4.2), glue (>=
1.4.1), gt (>= 0.7.0), gtsummary (>= 1.7.0), here (>= 1.0.1),
lifecycle (>= 0.2.0), lubridate (>= 1.7.9), purrr (>= 0.3.4),
readr (>= 1.3.1), rstudio.prefs (>= 0.1.9), rlang (>= 1.0.2),
starter (>= 0.1.12), stringr (>= 1.4.0), tibble (>= 3.0.3),
tidyr (>= 1.1.1)",no,4.5.0,https://github.com/MSKCC-Epi-Bio/bstfun,GitHub repo = MSKCC-Epi-Bio/bstfun
BWStest,/Library/Frameworks/R.framework/Versions/4.5-arm64/Resources/library,0.2.3,NA,NA,"memoise, Rcpp (>= 0.12.3)",yes,4.5.0,https://github.com/shabbychef/BWStest,CRAN
ca,/Library/Frameworks/R.framework/Versions/4.5-arm64/Resources/library,0.71.1,NA,R (>= 3.0.0),NA,no,4.5.0,http://www.carme-n.org/,CRAN
cachem,/Library/Frameworks/R.framework/Versions/4.5-arm64/Resources/library,1.1.0,NA,NA,"rlang, fastmap (>= 1.2.0)",yes,4.5.0,"https://cachem.r-lib.org/, https://github.com/r-lib/cachem",CRAN
Cairo,/Library/Frameworks/R.framework/Versions/4.5-arm64/Resources/library,1.6-2,NA,R (>= 2.4.0),"grDevices, graphics",yes,4.5.0,http://www.rforge.net/Cairo/,CRAN
callr,/Library/Frameworks/R.framework/Versions/4.5-arm64/Resources/library,3.7.6,NA,R (>= 3.4),"processx (>= 3.6.1), R6, utils",no,4.5.0,"https://callr.r-lib.org, https://github.com/r-lib/callr",CRAN
car,/Library/Frameworks/R.framework/Versions/4.5-arm64/Resources/library,3.1-3,NA,"R (>= 3.5.0), carData (>= 3.0-0)","abind, Formula, MASS, mgcv, nnet, pbkrtest (>= 0.4-4),
quantreg, grDevices, utils, stats, graphics, lme4 (>=
1.1-27.1), nlme, scales",no,4.5.0,"https://r-forge.r-project.org/projects/car/,
https://CRAN.R-project.org/package=car,
https://www.john-fox.ca/Companion/index.html",CRAN
carData,/Library/Frameworks/R.framework/Versions/4.5-arm64/Resources/library,3.0-5,NA,R (>= 3.5.0),NA,no,4.5.0,"https://r-forge.r-project.org/projects/car/,
https://CRAN.R-project.org/package=carData,
https://socialsciences.mcmaster.ca/jfox/Books/Companion/index.html",CRAN
cards,/Library/Frameworks/R.framework/Versions/4.5-arm64/Resources/library,0.6.1,NA,R (>= 4.1),"cli (>= 3.6.1), dplyr (>= 1.1.2), glue (>= 1.6.2), lifecycle
(>= 1.0.3), rlang (>= 1.1.1), tidyr (>= 1.3.0), tidyselect (>=
1.2.0)",no,4.5.0,"https://github.com/insightsengineering/cards,
https://insightsengineering.github.io/cards/",CRAN
cardx,/Library/Frameworks/R.framework/Versions/4.5-arm64/Resources/library,0.2.5,NA,R (>= 4.2),"cards (>= 0.6.1), cli (>= 3.6.1), dplyr (>= 1.1.2), glue (>=
1.6.2), lifecycle (>= 1.0.3), rlang (>= 1.1.1), tidyr (>=
1.3.0)",no,4.5.0,"https://github.com/insightsengineering/cardx,
https://insightsengineering.github.io/cardx/",CRAN
caret,/Library/Frameworks/R.framework/Versions/4.5-arm64/Resources/library,7.0-1,NA,"ggplot2, lattice (>= 0.20), R (>= 3.2.0)","e1071, foreach, grDevices, methods, ModelMetrics (>= 1.2.2.2),
nlme, plyr, pROC, recipes (>= 0.1.10), reshape2, stats, stats4,
utils, withr (>= 2.0.0)",yes,4.5.0,https://github.com/topepo/caret/,CRAN
caTools,/Library/Frameworks/R.framework/Versions/4.5-arm64/Resources/library,1.18.3,NA,R (>= 3.6.0),bitops,yes,4.5.0,NA,CRAN
CCA,/Library/Frameworks/R.framework/Versions/4.5-arm64/Resources/library,1.2.2,NA,"R (>= 2.10), fda, fields",NA,no,4.5.0,NA,CRAN
CCP,/Library/Frameworks/R.framework/Versions/4.5-arm64/Resources/library,1.2,NA,NA,NA,no,4.5.0,NA,CRAN
cellranger,/Library/Frameworks/R.framework/Versions/4.5-arm64/Resources/library,1.1.0,NA,R (>= 3.0.0),"rematch, tibble",no,4.5.0,https://github.com/rsheets/cellranger,CRAN
cheatsheet,/Library/Frameworks/R.framework/Versions/4.5-arm64/Resources/library,0.1.2,NA,NA,"magrittr, git2r, fs, crayon, cli, purrr, rstudioapi",no,4.5.0,https://bradlindblad.github.io/cheatsheet/,CRAN
checkmate,/Library/Frameworks/R.framework/Versions/4.5-arm64/Resources/library,2.3.2,NA,R (>= 3.0.0),"backports (>= 1.1.0), utils",yes,4.5.0,"https://mllg.github.io/checkmate/,
https://github.com/mllg/checkmate",CRAN
childsds,/Library/Frameworks/R.framework/Versions/4.5-arm64/Resources/library,0.9.11,NA,R (>= 4.2.0),"gamlss, gamlss.dist, dplyr, magrittr, methods, tidyr,
tidyselect, boot, class, tibble, reshape2, purrr, purrrlyr,
utils, VGAM, interp, lubridate, ggplot2, scales, DescTools,
colorspace, rlang",no,4.5.0,NA,CRAN
chk,/Library/Frameworks/R.framework/Versions/4.5-arm64/Resources/library,0.10.0,NA,R (>= 3.6),"lifecycle, methods, rlang, tools",no,4.5.0,"https://github.com/poissonconsulting/chk,
https://poissonconsulting.github.io/chk/",CRAN
chromote,/Library/Frameworks/R.framework/Versions/4.5-arm64/Resources/library,0.5.1,NA,NA,"cli, curl, fastmap, jsonlite, later (>= 1.1.0), magrittr,
processx, promises (>= 1.1.1), R6, rlang (>= 1.1.0), utils,
websocket (>= 1.2.0), withr, zip",no,4.5.0,"https://rstudio.github.io/chromote/,
https://github.com/rstudio/chromote",CRAN
chron,/Library/Frameworks/R.framework/Versions/4.5-arm64/Resources/library,2.3-62,NA,R (>= 2.12.0),"graphics, stats",yes,4.5.0,NA,CRAN
circlize,/Library/Frameworks/R.framework/Versions/4.5-arm64/Resources/library,0.4.16,NA,"R (>= 4.0.0), graphics","GlobalOptions (>= 0.1.2), shape, grDevices, utils, stats,
colorspace, methods, grid",no,4.5.0,"https://github.com/jokergoo/circlize,
https://jokergoo.github.io/circlize_book/book/",CRAN
class,/Library/Frameworks/R.framework/Versions/4.5-arm64/Resources/library,7.3-23,recommended,"R (>= 3.0.0), stats, utils",MASS,yes,4.5.0,http://www.stats.ox.ac.uk/pub/MASS4/,CRAN
classInt,/Library/Frameworks/R.framework/Versions/4.5-arm64/Resources/library,0.4-11,NA,R (>= 2.2),"grDevices, stats, graphics, e1071, class, KernSmooth",yes,4.5.0,"https://r-spatial.github.io/classInt/,
https://github.com/r-spatial/classInt/",CRAN
cli,/Library/Frameworks/R.framework/Versions/4.5-arm64/Resources/library,3.6.5,NA,R (>= 3.4),utils,yes,4.5.0,"https://cli.r-lib.org, https://github.com/r-lib/cli",CRAN
clipr,/Library/Frameworks/R.framework/Versions/4.5-arm64/Resources/library,0.8.0,NA,NA,utils,no,4.5.0,"https://github.com/mdlincoln/clipr,
http://matthewlincoln.net/clipr/",CRAN
clisymbols,/Library/Frameworks/R.framework/Versions/4.5-arm64/Resources/library,1.2.0,NA,NA,NA,no,4.5.0,https://github.com/gaborcsardi/clisymbols,CRAN
clock,/Library/Frameworks/R.framework/Versions/4.5-arm64/Resources/library,0.7.3,NA,R (>= 4.0.0),"cli (>= 3.6.4), lifecycle (>= 1.0.4), rlang (>= 1.1.5), tzdb
(>= 0.5.0), vctrs (>= 0.6.5)",yes,4.5.0,"https://clock.r-lib.org, https://github.com/r-lib/clock",CRAN
cluster,/Library/Frameworks/R.framework/Versions/4.5-arm64/Resources/library,2.1.8.1,recommended,R (>= 3.5.0),"graphics, grDevices, stats, utils",yes,4.5.0,https://svn.r-project.org/R-packages/trunk/cluster/,CRAN
cmprsk,/Library/Frameworks/R.framework/Versions/4.5-arm64/Resources/library,2.2-12,NA,"R (>= 3.0.0), survival",NA,yes,4.5.0,https://www.R-project.org,CRAN
coda,/Library/Frameworks/R.framework/Versions/4.5-arm64/Resources/library,0.19-4.1,NA,R (>= 2.14.0),lattice,no,4.5.0,NA,CRAN
codetools,/Library/Frameworks/R.framework/Versions/4.5-arm64/Resources/library,0.2-20,recommended,R (>= 2.1),NA,no,4.5.0,https://gitlab.com/luke-tierney/codetools,CRAN
coefplot,/Library/Frameworks/R.framework/Versions/4.5-arm64/Resources/library,1.2.8,NA,ggplot2 (>= 2.0.0),"plyr, reshape2, useful, stats, dplyr (>= 0.6.0), dygraphs,
tibble, magrittr, purrr, plotly",no,4.5.0,NA,CRAN
coin,/Library/Frameworks/R.framework/Versions/4.5-arm64/Resources/library,1.4-3,NA,"R (>= 3.6.0), survival","methods, parallel, stats, stats4, utils, libcoin (>= 1.0-9),
matrixStats (>= 0.54.0), modeltools (>= 0.2-9), mvtnorm (>=
1.0-5), multcomp",yes,4.5.0,http://coin.r-forge.r-project.org,CRAN
collapse,/Library/Frameworks/R.framework/Versions/4.5-arm64/Resources/library,2.1.2,NA,R (>= 4.1.0),Rcpp (>= 1.0.1),yes,4.5.0,"https://sebkrantz.github.io/collapse/,
https://github.com/SebKrantz/collapse",CRAN
colorfindr,/Library/Frameworks/R.framework/Versions/4.5-arm64/Resources/library,0.1.5,NA,NA,"purrr, stringr, pixmap, tibble, treemap, rsvg, png, jpeg,
tiff, bmp, dplyr, plotly, magrittr, plotwidgets",no,4.5.0,NA,CRAN
colorspace,/Library/Frameworks/R.framework/Versions/4.5-arm64/Resources/library,2.1-1,NA,"R (>= 3.0.0), methods","graphics, grDevices, stats",yes,4.5.0,"https://colorspace.R-Forge.R-project.org/, https://hclwizard.org/",CRAN
colourpicker,/Library/Frameworks/R.framework/Versions/4.5-arm64/Resources/library,1.3.0,NA,R (>= 3.1.0),"ggplot2, htmltools, htmlwidgets (>= 0.7), jsonlite, miniUI (>=
0.1.1), shiny (>= 0.11.1), shinyjs (>= 2.0.0), utils",no,4.5.0,"https://github.com/daattali/colourpicker,
https://daattali.com/shiny/colourInput/",CRAN
cols4all,/Library/Frameworks/R.framework/Versions/4.5-arm64/Resources/library,0.8,NA,"R (>= 3.5.0),","methods, grDevices, stats, abind, png, stringdist, colorspace
(>= 2.1), spacesXYZ",no,4.5.0,"https://mtennekes.github.io/cols4all/,
https://github.com/mtennekes/cols4all",CRAN
combinat,/Library/Frameworks/R.framework/Versions/4.5-arm64/Resources/library,0.0-8,NA,NA,NA,NA,4.5.0,NA,CRAN
common,/Library/Frameworks/R.framework/Versions/4.5-arm64/Resources/library,1.1.3,NA,R (>= 3.6.0),utils,no,4.5.0,"https://common.r-sassy.org, https://github.com/dbosak01/common",CRAN
commonmark,/Library/Frameworks/R.framework/Versions/4.5-arm64/Resources/library,2.0.0,NA,NA,NA,yes,4.5.0,"https://docs.ropensci.org/commonmark/
https://ropensci.r-universe.dev/commonmark",CRAN
compareDF,/Library/Frameworks/R.framework/Versions/4.5-arm64/Resources/library,2.3.5,NA,R (>= 3.5.0),"dplyr (>= 1.0.0), data.table (>= 1.12.8), htmlTable (>= 1.5),
openxlsx (>= 4.1), tidyr (>= 1.1.0), stringr (>= 1.4.0), tibble
(>= 3.0.1), rlang",no,4.5.0,NA,CRAN
